"","OTU","Sensitive_A","Tolerant_A","Sensitive_O","Tolerant_O"
"238","C2_S50_L004_contig_2801",TRUE,FALSE,FALSE,FALSE
"239","C2_S50_L004_contig_2822",FALSE,FALSE,FALSE,TRUE
"240","C2_S50_L004_contig_2878",TRUE,FALSE,TRUE,FALSE
"241","C2_S50_L004_contig_2923",FALSE,FALSE,FALSE,TRUE
"242","C2_S50_L004_contig_2957",TRUE,FALSE,TRUE,FALSE
"243","C2_S50_L004_contig_3004",TRUE,FALSE,TRUE,FALSE
"244","C2_S50_L004_contig_3075",TRUE,FALSE,FALSE,FALSE
"245","C2_S50_L004_contig_3119",FALSE,TRUE,FALSE,FALSE
"246","C2_S50_L004_contig_3128",FALSE,FALSE,TRUE,FALSE
"247","C2_S50_L004_contig_3178",FALSE,FALSE,TRUE,FALSE
"248","C2_S50_L004_contig_3222",TRUE,FALSE,TRUE,FALSE
"249","C2_S50_L004_contig_326",FALSE,TRUE,FALSE,FALSE
"250","C2_S50_L004_contig_3273",FALSE,FALSE,TRUE,FALSE
"251","C2_S50_L004_contig_3299",FALSE,FALSE,TRUE,FALSE
"252","C2_S50_L004_contig_3316",TRUE,FALSE,FALSE,FALSE
"253","C2_S50_L004_contig_352",FALSE,FALSE,TRUE,FALSE
"254","C2_S50_L004_contig_354",FALSE,FALSE,TRUE,FALSE
"255","C2_S50_L004_contig_3664",FALSE,FALSE,TRUE,FALSE
"256","C2_S50_L004_contig_3727",FALSE,FALSE,FALSE,TRUE
"257","C2_S50_L004_contig_3844",TRUE,FALSE,TRUE,FALSE
"258","C2_S50_L004_contig_3855",TRUE,FALSE,TRUE,FALSE
"259","C2_S50_L004_contig_3861",TRUE,FALSE,FALSE,FALSE
"260","C2_S50_L004_contig_3900",FALSE,FALSE,TRUE,FALSE
"261","C2_S50_L004_contig_3932",TRUE,FALSE,TRUE,FALSE
"262","C2_S50_L004_contig_3957",FALSE,FALSE,TRUE,FALSE
"263","C2_S50_L004_contig_3976",FALSE,TRUE,FALSE,TRUE
"264","C2_S50_L004_contig_3982",FALSE,FALSE,TRUE,FALSE
"265","C2_S50_L004_contig_4040",FALSE,TRUE,FALSE,FALSE
"266","C2_S50_L004_contig_4050",FALSE,FALSE,FALSE,TRUE
"267","C2_S50_L004_contig_4051",FALSE,FALSE,FALSE,TRUE
"268","C2_S50_L004_contig_4053",FALSE,FALSE,FALSE,TRUE
"269","C2_S50_L004_contig_4058",TRUE,FALSE,TRUE,FALSE
"270","C2_S50_L004_contig_4077",FALSE,TRUE,FALSE,FALSE
"271","C2_S50_L004_contig_4127",FALSE,TRUE,FALSE,FALSE
"272","C2_S50_L004_contig_4163",FALSE,FALSE,FALSE,TRUE
"273","C2_S50_L004_contig_417",TRUE,FALSE,FALSE,FALSE
"274","C2_S50_L004_contig_4172",FALSE,FALSE,FALSE,TRUE
